Epoch,BM-TA,BM-TCA,BM-SA,AM-TA,AM-TCA,AM-SA
78,0.975894246,0.96767385,0.99,0.992446123,0.990446567,0.9957
79,0.977338369,0.965896468,0.9905,0.992335037,0.991446345,0.9951
80,0.977449456,0.964341258,0.9909,0.993890247,0.992890469,0.9965
81,0.968895801,0.957009553,0.9903,0.99066874,0.990002222,0.9947
82,0.977227283,0.96767385,0.9901,0.993334815,0.99255721,0.996
83,0.977560542,0.966896245,0.991,0.992001777,0.991557432,0.9964
84,0.973005999,0.965896468,0.99,0.990224395,0.989557876,0.9951
85,0.973672517,0.963119307,0.9898,0.992335037,0.991224172,0.9956
86,0.972672739,0.951233059,0.991,0.99255721,0.991446345,0.9957
87,0.978227061,0.958786936,0.9918,0.993223728,0.991779605,0.9956
88,0.972894912,0.949900022,0.9901,0.991002,0.990335481,0.9958
89,0.976671851,0.966562986,0.9907,0.992001777,0.991224172,0.9955
90,0.974561209,0.965674295,0.9895,0.990335481,0.989335703,0.9947
91,0.973672517,0.960342146,0.9903,0.991890691,0.991002,0.9953
92,0.975894246,0.964674517,0.9909,0.991890691,0.990890913,0.9957
93,0.970228838,0.959231282,0.9897,0.993112642,0.991890691,0.996
94,0.976560764,0.971450789,0.9898,0.992890469,0.992112864,0.9954
95,0.977560542,0.96300822,0.9908,0.989780049,0.988224839,0.9945
96,0.97233948,0.956120862,0.9897,0.988335925,0.987336148,0.9944
97,0.974339036,0.949233504,0.99,0.990779827,0.989557876,0.9959
98,0.976894024,0.963896912,0.9905,0.989557876,0.988113753,0.9945
99,0.978004888,0.967896023,0.9907,0.99222395,0.991446345,0.9955
100,0.976005332,0.964452344,0.9903,0.991890691,0.991002,0.995
