Epoch,dynamic-TA,dynamic-TCA,dynamic-SA,k-means-TA,k-means-TCA,k-means-SA
77,0.960008887,0.954676739,0.995,0.970117752,0.963785825,0.9896
78,0.914130193,0.909131304,0.9934,0.968229282,0.960119973,0.9892
79,0.958342591,0.954121306,0.995,0.929904466,0.923350367,0.9889
80,0.968673628,0.962674961,0.994,0.9263497,0.92046212,0.9879
81,0.920239947,0.917240613,0.9936,0.95712064,0.945123306,0.9888
82,0.968451455,0.964674517,0.9936,0.936791824,0.932792713,0.9873
83,0.970228838,0.964785603,0.9954,0.956898467,0.948900244,0.9893
84,0.969006887,0.962786048,0.9953,0.932792713,0.921906243,0.9889
85,0.973228172,0.968784715,0.995,0.940902022,0.932015108,0.9889
86,0.977671629,0.971006443,0.9949,0.929126861,0.920017774,0.9876
87,0.961564097,0.957787158,0.9937,0.931792935,0.924683404,0.9889
88,0.964230171,0.958564763,0.9945,0.950344368,0.943679182,0.9874
89,0.968229282,0.962341702,0.9951,0.952343924,0.94312375,0.9875
90,0.977227283,0.971117529,0.9946,0.910797601,0.892135081,0.9873
91,0.954343479,0.944234615,0.9944,0.956120862,0.949122417,0.9879
92,0.96300822,0.954232393,0.9935,0.952677183,0.94312375,0.9898
93,0.962897134,0.957453899,0.9937,0.939124639,0.928904688,0.9888
94,0.953899134,0.949566763,0.993,0.953788047,0.944456787,0.9878
95,0.969784492,0.962674961,0.994,0.964230171,0.955898689,0.9882
96,0.978782493,0.973672517,0.995,0.953121529,0.947345034,0.9879
97,0.970339925,0.964230171,0.994,0.94656743,0.939457898,0.9877
98,0.96456343,0.958231504,0.9933,0.955676516,0.944567874,0.9862
99,0.965674295,0.960897578,0.9942,0.948566985,0.94001333,0.9878
100,0.959564541,0.948566985,0.9943,0.957342813,0.951233059,0.9882
