Epoch,PS-TA,PS-TCA,PS-SA,CNN-TA,CNN-TCA,CNN-SA
89,0.678400888,0.663964464,0.864,0.369794559,0.07229317,0.8607
90,0.705496946,0.691060522,0.865,0.389672404,0.069294836,0.8661
91,0.712493059,0.69516935,0.8751,0.398223209,0.070627429,0.8602
92,0.71238201,0.698167685,0.8743,0.355469184,0.063853415,0.8607
93,0.687506941,0.678622987,0.8696,0.373126041,0.058300944,0.859
94,0.69705719,0.677734592,0.8715,0.403997779,0.077512493,0.8726
95,0.712826208,0.695835647,0.8745,0.406440866,0.06662965,0.8675
96,0.713603554,0.694947252,0.8719,0.379344808,0.063853415,0.8656
97,0.712270961,0.704386452,0.8751,0.371904498,0.057301499,0.8598
98,0.702276513,0.688506385,0.8687,0.319044975,0.051082732,0.8499
99,0.712937257,0.694614103,0.8749,0.397001666,0.076401999,0.8663
100,0.702054414,0.691615769,0.8728,0.366574126,0.058856191,0.872
