Epoch,PS-TA,PS-TCA,PS-SA,CNN-TA,CNN-TCA,CNN-SA
1,0.082008734,0.081746725,0.373040873,0.148951965,0.033275109,0.67117394
2,0.432707424,0.432358079,0.815150584,0.164628821,0.032576419,0.785302704
3,0.566375546,0.56510917,0.86516595,0.222707424,0.031004367,0.839582053
4,0.583144105,0.581222707,0.877650584,0.369956332,0.057991266,0.881338353
5,0.650043668,0.647772926,0.900353411,0.262008734,0.049737991,0.8747311
6,0.640218341,0.637816594,0.907575292,0.320567686,0.060960699,0.898663184
7,0.665895197,0.664934498,0.909419176,0.421965066,0.076026201,0.897318685
8,0.673449782,0.668864629,0.918062385,0.472358079,0.087030568,0.909726491
9,0.674759825,0.673668122,0.915066073,0.441528384,0.098122271,0.908228334
10,0.708995633,0.704585153,0.92144284,0.474803493,0.112969432,0.919791026
11,0.692445415,0.689563319,0.919752612,0.450349345,0.094497817,0.917370928
12,0.6930131,0.690305677,0.921826982,0.443973799,0.084454148,0.925245851
13,0.707292576,0.700218341,0.922864167,0.494235808,0.105676856,0.921058697
14,0.699519651,0.688296943,0.923171481,0.449737991,0.086419214,0.925399508
15,0.713231441,0.709868996,0.926129379,0.461746725,0.096943231,0.918600184
16,0.710873362,0.705065502,0.923862938,0.479126638,0.103318777,0.928703135
17,0.72558952,0.717729258,0.928395821,0.493406114,0.112358079,0.931046404
18,0.734104804,0.72838428,0.927589121,0.503537118,0.111877729,0.931776275
19,0.700829694,0.698165939,0.924055009,0.523056769,0.102358079,0.935579287
20,0.724061135,0.720174673,0.927166564,0.47371179,0.097816594,0.918753841
21,0.732227074,0.718427948,0.927435464,0.50860262,0.11628821,0.929586663
22,0.737030568,0.723842795,0.932775046,0.5169869,0.105021834,0.925207437
23,0.743100437,0.733842795,0.932621389,0.515982533,0.10441048,0.932390904
24,0.715327511,0.711266376,0.927358636,0.524061135,0.111441048,0.932160418
25,0.717161572,0.708733625,0.927051322,0.527860262,0.111135371,0.929509834
26,0.711746725,0.701004367,0.925015366,0.486681223,0.095371179,0.928818377
27,0.717947598,0.707991266,0.92532268,0.509475983,0.088471616,0.937692071
28,0.748995633,0.74139738,0.931353719,0.484148472,0.101659389,0.932390904
