epoch,dynamic-TA,dynamic-TCA,dynamic-SA,k-means-TA,k-means-TCA,k-means-SA
48,11.74183515,10.60875361,10.1,97.1784048,96.86736281,98.91
49,10.98644746,10.24216841,10.1,94.93445901,94.63452566,99.05
50,10.19773384,9.697844923,10.1,96.60075539,96.23417018,99.04
51,11.2863808,10.15329927,10.1,95.1677405,94.89002444,98.94
52,11.56409687,10.53099311,10.1,94.32348367,94.06798489,98.96
53,11.49744501,10.70873139,10.1,95.13441457,94.8789158,99.01
54,12.10842035,11.23083759,10.1,94.71228616,94.51233059,98.94
55,12.21950678,11.04199067,10.1,94.8789158,94.69006887,98.94
56,11.15307709,10.18662519,10.1,96.00088869,95.57876028,98.91
57,10.60875361,9.486780715,10.1,94.91224172,94.54565652,98.94
58,11.20862031,10.51988447,10.1,94.83448123,94.47900467,98.99
59,11.94179071,11.00866474,10.1,97.13397023,96.48966896,98.94
60,11.67518329,10.81981782,10.1,94.36791824,94.03465896,98.81
61,10.36436347,9.164630082,10.1,93.54587869,93.16818485,98.87
62,11.49744501,10.21995112,10.1,96.38969118,96.04532326,99
63,12.50833148,12.0417685,10.1,95.7676072,95.57876028,99.03
64,11.91957343,11.50855365,10.1,93.71250833,93.54587869,98.96
65,10.73094868,10.1088647,10.1,96.18973561,95.95645412,99
66,10.80870918,9.942235059,10.1,96.18973561,95.7676072,98.91
67,9.542323928,9.231281937,10.1,94.92335037,94.55676516,98.94
68,11.2863808,10.35325483,10.1,95.8453677,95.38991335,98.9
69,11.00866474,9.942235059,10.1,94.97889358,94.65674295,98.78
70,11.79737836,11.23083759,10.1,95.42323928,95.03443679,98.82
71,12.27504999,11.84181293,10.1,95.48989114,95.27882693,98.76
72,9.364585648,8.520328816,10.1,91.8240391,91.70184403,98.71
73,11.01977338,9.842257276,10.1,95.1677405,94.93445901,98.76
74,11.19751166,10.78649189,10.1,96.22306154,95.87869362,98.87
75,8.709175739,8.220395468,10.1,95.51210842,95.17884914,98.84
76,10.11997334,8.909131304,10.1,95.85647634,95.52321706,98.84
77,12.59720062,11.31970673,10.1,94.3568096,94.13463675,98.83
78,12.39724506,11.03088203,10.1,96.43412575,95.86758498,98.91
79,12.53054877,11.99733393,10.1,95.72317263,95.15663186,99.03
80,13.60808709,11.93068207,10.1,96.75627638,96.23417018,99.06
81,11.79737836,9.764496778,10.1,96.56742946,95.96756276,98.73
82,11.55298822,10.26438569,10.1,92.13508109,91.9795601,98.85
83,11.45301044,10.37547212,10.1,95.401022,95.14552322,98.93
84,11.3641413,10.23105976,10.1,95.35658743,94.82337258,98.79
85,11.40857587,10.46434126,10.1,95.62319485,95.1677405,98.83
86,11.8862475,10.96423017,10.1,95.65652077,95.26771828,98.82
87,11.43079316,10.37547212,10.1,96.8118196,96.2897134,98.88
88,12.07509442,10.79760053,10.1,95.07887136,94.66785159,98.87
89,13.46367474,12.13063764,10.1,96.23417018,95.7676072,98.89
90,12.39724506,10.87536103,10.1,95.57876028,95.26771828,98.73
91,12.10842035,11.47522773,10.1,96.77849367,96.08975783,98.87
92,12.63052655,11.49744501,10.1,96.77849367,96.41190846,98.83
93,11.23083759,10.11997334,10.1,96.20084426,95.86758498,98.87
94,9.853365919,8.842479449,10.1,95.88980227,95.46767385,98.84
95,12.15285492,11.43079316,10.1,95.94534548,95.57876028,98.91
96,11.76405243,10.08664741,10.1,95.82315041,95.57876028,98.78
97,12.54165741,11.58631415,10.1,95.6120862,95.245501,98.9
98,12.50833148,12.09731171,10.1,96.6562986,96.2119529,98.79
99,12.34170184,11.66407465,10.1,96.30082204,95.87869362,98.91
100,11.30859809,10.46434126,10.1,95.52321706,95.01221951,98.79
