Epoch,PS-TA,PS-TCA,PS-SA,CNN-TA,CNN-TCA,CNN-SA
77,0.97700511,0.96922906,0.992,0.748167074,0.13485892,0.9952
78,0.975894246,0.96767385,0.99,0.759386803,0.132192846,0.9954
79,0.977338369,0.965896468,0.9905,0.796822928,0.109864475,0.995
80,0.977449456,0.964341258,0.9909,0.778382582,0.124861142,0.9959
81,0.968895801,0.957009553,0.9903,0.760497667,0.104643413,0.9957
82,0.977227283,0.96767385,0.9901,0.746611864,0.124083537,0.9948
83,0.977560542,0.966896245,0.991,0.742612753,0.096200844,0.9957
84,0.973005999,0.965896468,0.99,0.721506332,0.116307487,0.9944
85,0.973672517,0.963119307,0.9898,0.735169962,0.125416574,0.9958
86,0.972672739,0.951233059,0.991,0.783936903,0.140968674,0.9958
87,0.978227061,0.958786936,0.9918,0.784047989,0.138858032,0.9954
88,0.972894912,0.949900022,0.9901,0.743279271,0.087425017,0.996
89,0.976671851,0.966562986,0.9907,0.721839591,0.096089758,0.996
90,0.974561209,0.965674295,0.9895,0.756942902,0.108642524,0.9951
91,0.973672517,0.960342146,0.9903,0.724283493,0.10286603,0.9962
92,0.975894246,0.964674517,0.9909,0.685292157,0.104532326,0.996
93,0.970228838,0.959231282,0.9897,0.771717396,0.120973117,0.9955
94,0.976560764,0.971450789,0.9898,0.733725839,0.10597645,0.9952
95,0.977560542,0.96300822,0.9908,0.754387914,0.123861364,0.9949
96,0.97233948,0.956120862,0.9897,0.740279938,0.115529882,0.9953
97,0.974339036,0.949233504,0.99,0.767607198,0.095645412,0.9959
98,0.976894024,0.963896912,0.9905,0.784492335,0.106309709,0.9952
99,0.978004888,0.967896023,0.9907,0.77782715,0.119195734,0.9957
100,0.976005332,0.964452344,0.9903,0.702399467,0.092534992,0.9955
