Epoch,BM-TA,BM-TCA,BM-SA,AM-TA,AM-TCA,AM-SA
79,43.82397995,43.26695446,70.925,46.10778443,44.29745161,70.0625
80,43.42013647,42.48711879,70.55,50.60576521,49.54741679,72.125
81,43.69864921,43.32265701,70.5375,47.30538922,45.95460242,72.075
82,45.06336165,44.65951817,71.1125,49.97911154,48.349812,72.35
83,46.80406629,46.31666899,72.675,50.5639883,49.07394513,73.025
84,37.62707144,37.15359978,67.325,49.61704498,47.80671216,72.7125
85,46.67873555,46.12171007,72.15,51.28812143,49.7005988,73.15
86,45.73179223,45.27224621,71.4375,52.43002367,50.91212923,73.7625
87,46.63695864,45.69001532,72,51.59448545,49.86770645,74.15
88,48.86506058,47.94596853,73.25,53.00097479,51.73374182,73.9625
89,47.19398412,46.48377663,71.55,49.10179641,48.05737362,72.9
90,42.01364712,41.60980365,70.0875,49.07394513,47.77886088,71.7875
91,42.47319315,41.24773708,69.7125,51.30204707,49.7005988,72.2875
92,46.74836374,46.07993316,71.7875,49.29675533,47.89026598,72.3625
93,45.32794875,44.70129508,71.025,51.31597271,49.78415262,73.2125
94,47.27753795,46.17741262,71.3125,53.27948754,51.67803927,74.025
95,46.44199972,45.99637933,70.825,47.16613285,45.50898204,70.025
96,43.64294666,43.05806991,70.0875,48.73972984,46.98509957,71.325
97,48.71187857,47.51427378,72.9375,49.71452444,47.9738198,72.4125
98,48.92076312,48.29410946,72.7,51.10708815,49.25497842,72.3375
99,47.66745579,46.85976883,71.9375,48.71187857,46.97117393,71.4875
100,45.46720512,44.49241053,70.775,51.59448545,49.65882189,73.9625
