Epoch,BM-TA,BM-TCA,BM-SA,AM-TA,AM-TCA,AM-SA
88,0.708273182,0.691837868,0.8737,0.772015547,0.760799556,0.8833
89,0.678400888,0.663964464,0.864,0.778789561,0.766685175,0.8852
90,0.705496946,0.691060522,0.865,0.771127152,0.757801222,0.8818
91,0.712493059,0.69516935,0.8751,0.771016102,0.757134925,0.8854
92,0.71238201,0.698167685,0.8743,0.76002221,0.748806219,0.8796
93,0.687506941,0.678622987,0.8696,0.747806774,0.73137146,0.8768
94,0.69705719,0.677734592,0.8715,0.763020544,0.75435869,0.8804
95,0.712826208,0.695835647,0.8745,0.782232093,0.770016657,0.8875
96,0.713603554,0.694947252,0.8719,0.769128262,0.753692393,0.8825
97,0.712270961,0.704386452,0.8751,0.764242088,0.749361466,0.8793
98,0.702276513,0.688506385,0.8687,0.778900611,0.76957246,0.8858
99,0.712937257,0.694614103,0.8749,0.766240977,0.753692393,0.8778
100,0.702054414,0.691615769,0.8728,0.77134925,0.757579123,0.8841
